time,ppg
1753555695543,92.921516
1753555695573,82.972324
1753555695611,79.486227
1753555695631,78.151909
1753555695664,77.610759
1753555695696,77.294618
1753555695729,76.963919
1753555695767,76.98554
1753555695801,77.015814
1753555695834,77.041231
1753555695864,77.154884
1753555695901,77.234826
1753555695931,77.306245
1753555695968,77.293055
1753555696001,77.3376
1753555696030,77.407444
1753555696069,77.420777
1753555696101,77.350803
1753555696134,77.270438
1753555696163,77.22728
1753555696200,77.154669
1753555696229,77.075385
1753555696275,76.97095
1753555696302,76.870618
1753555696336,76.823697
1753555696364,76.801164
1753555696401,77.04875
1753555696429,77.069792
1753555696465,78.007917
1753555696497,77.77104
1753555696533,77.790383
1753555696563,77.800454
1753555696599,77.820806
1753555696630,77.512809
1753555696665,77.527556
1753555696701,77.55195
1753555696734,77.55473
1753555696763,77.567497
1753555696801,77.577022
1753555696835,77.539066
1753555696862,77.47305
1753555696899,77.408128
1753555696942,77.389475
1753555696964,77.397848
1753555696997,77.394254
1753555697030,77.399833
1753555697065,77.410777
1753555697098,77.420335
1753555697137,77.426572
1753555697166,77.42096
1753555697199,77.418414
1753555697230,77.427529
1753555697266,77.443089
1753555697295,77.446253
1753555697332,77.460485
1753555697364,77.474476
1753555697400,77.482829
1753555697429,77.509092
1753555697466,77.527653
1753555697500,77.544932
1753555697532,77.559073
1753555697575,77.568623
1753555697600,77.576098
1753555697629,77.591137
1753555697664,77.612856
1753555697697,77.616534
1753555697729,77.639171
1753555697765,77.635811
1753555697800,77.564678
1753555697827,77.490921
1753555697862,77.454645
1753555697901,77.452477
1753555697927,77.448655
1753555697962,77.449144
1753555697995,77.456038
1753555698030,77.466598
1753555698066,77.476266
1753555698096,77.471149
1753555698129,77.476416
1753555698163,77.484261
1753555698197,77.495557
1753555698232,77.515583
1753555698265,77.520726
1753555698297,77.536175
1753555698333,77.549984
1753555698365,77.547647
1753555698397,77.565648
1753555698432,77.584613
1753555698461,77.58307
1753555698497,77.597055
1753555698533,77.61072
1753555698565,77.610922
1753555698599,77.631052
1753555698630,77.643539
1753555698663,77.649483
1753555698697,77.648767
1753555698731,77.593754
1753555698765,77.490915
1753555698795,77.452841
1753555698831,77.456911
1753555698865,77.462972
1753555698898,78.042598
1753555698929,78.050814
1753555698964,78.056081
1753555698998,77.764211
1753555699029,77.801971
1753555699064,77.791906
1753555699099,77.761548
1753555699129,77.773111
1753555699164,77.774048
1753555699198,77.78132
1753555699233,77.788664
1753555699265,77.795526
1753555699297,77.806242
1753555699328,77.811731
1753555699363,77.814634
1753555699397,77.831151
1753555699431,77.836054
1753555699464,77.83664
1753555699493,77.851646
1753555699528,77.868437
1753555699563,77.858411
1753555699598,77.80201
