time,ppg
1753718711385,79.152123
1753718711415,73.817284
1753718711456,69.918619
1753718711486,67.431337
1753718711526,62.583871
1753718711546,70.445966
1753718711587,67.380321
1753718711617,65.954108
1753718711658,60.723651
1753718711690,63.036576
1753718711723,62.586208
1753718711749,62.266942
1753718711780,60.663116
1753718711822,59.93817
1753718711851,57.561202
1753718711896,56.313003
1753718711922,53.333934
1753718711957,52.77591
1753718711986,52.43305
1753718712015,52.61546
1753718712057,51.923014
1753718712088,54.668598
1753718712118,55.288882
1753718712148,55.642485
1753718712191,55.961732
1753718712219,56.256636
1753718712260,56.293335
1753718712290,55.920175
1753718712321,55.612784
1753718712350,55.345367
1753718712380,54.858352
1753718712421,54.25939
1753718712451,54.227156
1753718712492,54.280861
1753718712522,54.319104
1753718712553,54.326649
1753718712583,54.504203
1753718712613,54.625395
1753718712654,54.663696
1753718712684,54.786242
1753718712727,54.913554
1753718712747,54.977754
1753718712787,54.981953
1753718712817,54.78548
1753718712858,54.424632
1753718712888,53.969857
1753718712930,53.517484
1753718712949,53.287906
1753718712979,53.187247
1753718713019,53.167065
1753718713050,53.615453
1753718713090,54.225841
1753718713121,54.378121
1753718713162,54.314983
1753718713180,54.09586
1753718713221,53.740734
1753718713251,53.408004
1753718713279,53.242026
1753718713317,53.232892
1753718713349,53.64809
1753718713389,55.504528
1753718713420,56.942767
1753718713461,57.582842
1753718713491,57.816158
1753718713520,57.869127
1753718713550,57.980911
1753718713581,58.097097
1753718713621,58.370849
1753718713652,58.519567
1753718713685,58.492204
1753718713713,58.277476
1753718713754,58.117123
1753718713785,58.097598
1753718713827,58.093139
1753718713860,58.121531
1753718713881,58.140658
1753718713927,58.112182
1753718713958,58.201056
1753718713998,58.237235
1753718714025,58.27409
1753718714068,58.336259
1753718714100,57.772212
1753718714122,56.759614
1753718714178,56.723735
1753718714191,57.294768
1753718714221,57.548011
1753718714252,57.820891
1753718714295,58.015085
1753718714332,58.322092
1753718714368,58.494873
1753718714385,58.562777
1753718714432,58.777167
1753718714460,58.291968
1753718714505,58.227287
1753718714530,59.017663
1753718714560,58.908046
1753718714599,56.488532
1753718714630,58.613578
1753718714664,60.106785
1753718714697,60.211629
1753718714733,59.552653
1753718714753,62.066485
1753718714801,65.170854
1753718714831,66.949576
1753718714864,69.50113
1753718714895,73.299494
1753718714930,77.728885
1753718714967,79.705167
1753718714992,88.137944
1753718715030,81.274605
1753718715069,71.979661
1753718715104,63.913242
1753718715125,60.935514
1753718715165,54.241532
1753718715198,50.516872
1753718715223,48.823261
1753718715261,41.719432
1753718715296,41.877968
1753718715333,44.025274
1753718715363,46.859543
1753718715400,50.247189
1753718715417,53.582771
1753718715461,55.386936
1753718715502,53.979765
1753718715534,53.021777
1753718715564,50.427496
1753718715597,48.807277
1753718715633,49.749119
1753718715664,56.244923
1753718715707,58.064942
1753718715726,58.228042
1753718715763,59.838983
1753718715800,60.71018
1753718715828,60.404078
1753718715859,59.070554
1753718715895,58.311441
1753718715932,60.482523
1753718715965,59.990749
1753718715998,60.720981
1753718716025,63.996654
1753718716068,69.758377
1753718716096,76.509502
1753718716131,81.741639
1753718716168,77.468213
1753718716189,82.375484
1753718716223,82.713703
1753718716259,81.767088
1753718716304,80.93442
1753718716332,73.605551
1753718716362,70.922428
1753718716395,70.108145
1753718716429,65.722134
1753718716468,67.090131
1753718716492,66.548747
1753718716529,64.442321
1753718716564,60.313134
1753718716598,45.221271
1753718716624,41.096146
1753718716666,39.858391
1753718716689,42.822902
1753718716727,43.904355
1753718716762,45.137813
1753718716791,44.567946
1753718716833,43.661111
1753718716866,43.603682
1753718716903,44.788482
1753718716925,46.126153
1753718716964,46.763547
1753718716990,48.446351
1753718717034,50.639412
1753718717070,55.438382
1753718717094,62.777844
1753718717140,65.799003
1753718717165,64.01054
1753718717197,58.982461
1753718717220,50.785637
1753718717265,50.112611
1753718717302,38.87054
1753718717326,31.948515
1753718717363,28.466917
1753718717393,24.379918
1753718717435,24.852343
1753718717465,26.739764
1753718717501,28.380738
1753718717527,31.358179
1753718717569,33.197163
