time,ppg
1753713993101,83.241655
1753713993135,76.121016
1753713993172,73.444736
1753713993204,71.579919
1753713993239,70.177794
1753713993271,69.251655
1753713993307,67.856868
1753713993327,66.456038
1753713993361,64.993301
1753713993395,64.214122
1753713993439,63.625557
1753713993472,63.205919
1753713993511,62.833873
1753713993531,62.561123
1753713993563,62.438369
1753713993597,62.771515
1753713993623,62.918665
1753713993658,62.691847
1753713993693,62.281766
1753713993728,61.857545
1753713993763,61.493519
1753713993790,61.230906
1753713993826,60.997233
1753713993857,60.607217
1753713993894,59.906907
1753713993950,58.999687
1753713993973,58.21894
1753713994008,58.043223
1753713994039,57.952096
1753713994068,57.585707
1753713994103,58.096941
1753713994142,58.648468
1753713994189,58.84539
1753713994215,59.097735
1753713994244,59.235581
1753713994258,59.319156
1753713994309,59.546664
1753713994352,60.230692
1753713994363,60.828462
1753713994405,61.588949
1753713994422,62.201043
1753713994480,62.669555
1753713994508,63.1809
1753713994534,63.488773
1753713994560,63.800604
1753713994592,64.086264
1753713994622,64.285627
1753713994654,64.484665
1753713994700,64.706176
1753713994721,64.816353
1753713994756,64.955286
1753713994792,65.06142
1753713994824,65.287215
1753713994855,65.408629
1753713994890,65.352307
1753713994923,65.16006
1753713994962,65.033353
1753713994990,64.92819
1753713995024,65.078607
1753713995059,65.310966
1753713995091,65.626899
1753713995126,65.928333
1753713995160,66.04543
1753713995191,66.201753
1753713995224,66.362099
1753713995256,66.552653
1753713995290,66.714809
1753713995323,66.908248
1753713995356,67.115821
1753713995391,67.251466
1753713995435,67.181473
1753713995468,67.005788
1753713995501,67.004707
1753713995527,67.241968
1753713995559,67.476859
1753713995592,67.577081
1753713995628,67.546338
1753713995658,67.427275
1753713995690,67.322613
1753713995722,67.415686
1753713995755,67.631182
1753713995788,67.814895
1753713995823,68.009831
1753713995857,68.205073
1753713995891,68.394006
1753713995927,68.512412
1753713995963,68.418193
1753713995995,68.107208
1753713996029,67.828274
1753713996059,67.777212
1753713996094,67.921647
1753713996125,68.047396
1753713996165,68.22549
1753713996195,68.396194
1753713996227,68.466728
1753713996263,68.270991
1753713996292,67.875767
1753713996326,67.381812
1753713996360,67.04017
1753713996393,66.90192
1753713996428,66.97556
1753713996463,66.965735
1753713996494,66.946048
1753713996524,66.947005
1753713996559,67.110359
1753713996591,67.403883
1753713996625,67.568064
1753713996654,67.671098
1753713996689,67.711007
1753713996723,67.763169
1753713996761,67.820559
1753713996792,67.92371
1753713996824,68.043848
1753713996859,68.142592
1753713996891,68.213406
1753713996928,68.272697
1753713996959,68.362366
1753713996991,68.424651
1753713997027,68.258335
1753713997059,67.935898
1753713997091,67.701932
1753713997128,67.658468
1753713997164,67.709399
1753713997197,67.921328
1753713997224,68.12043
1753713997271,68.335224
1753713997297,68.520095
1753713997337,68.55611
1753713997365,68.600518
