time,ecg,peak
1757168809154.1455,91,0
1757168809161.838,68,0
1757168809169.5303,75,0
1757168809177.2227,85,0
1757168809184.915,75,0
1757168809192.6074,71,0
1757168809200.2998,78,0
1757168809207.9922,78,0
1757168809215.6846,73,0
1757168809223.377,66,0
1757168809231.0693,66,0
1757168809238.7617,64,0
1757168809246.454,52,0
1757168809254.1465,55,0
1757168809261.8389,64,0
1757168809269.5312,71,0
1757168809277.2236,75,0
1757168809284.916,71,0
1757168809292.6084,52,0
1757168809300.3008,48,0
1757168809307.9932,52,0
1757168809315.6855,50,0
1757168809323.378,45,0
1757168809331.0703,45,0
1757168809338.7627,39,0
1757168809346.455,25,0
1757168809354.1475,20,0
1757168809361.8398,22,0
1757168809369.5322,20,0
1757168809377.2246,22,0
1757168809384.917,18,0
1757168809392.6094,2,0
1757168809400.3018,0,0
1757168809407.9941,16,0
1757168809415.6865,16,0
1757168809423.379,0,0
1757168809431.0713,-13,0
1757168809438.7637,-11,0
1757168809446.456,-4,0
1757168809454.1484,-6,0
1757168809461.8408,-9,0
1757168809448.978,-18,0
1757168809456.6704,-29,0
1757168809464.3628,-27,0
1757168809472.0552,-29,0
1757168809479.7476,-59,0
1757168809487.44,-80,0
1757168809495.1323,-78,0
1757168809502.8247,-89,0
1757168809510.517,-101,0
1757168809518.2095,-103,0
1757168809525.9019,-117,0
1757168809533.5942,-144,0
1757168809541.2866,-172,0
1757168809548.979,-179,0
1757168809556.6714,-179,0
1757168809564.3638,-202,0
1757168809572.0562,-225,0
1757168809579.7485,-220,0
1757168809587.441,-234,0
1757168809595.1333,-273,0
1757168809602.8257,-285,0
1757168809610.518,-278,0
1757168809618.2104,-296,0
1757168809625.9028,-319,0
1757168809633.5952,-326,0
1757168809641.2876,-333,0
1757168809648.98,-324,0
1757168809656.6724,-303,0
1757168809664.3647,-301,0
1757168809672.0571,-308,0
1757168809679.7495,-312,0
1757168809687.442,-328,0
1757168809695.1343,-337,0
1757168809702.8267,-337,0
1757168809710.519,-337,0
1757168809718.2114,-347,0
1757168809725.9038,-351,0
1757168809733.5962,-349,0
1757168809741.2886,-365,0
1757168809748.981,-411,0
1757168809756.6733,-363,0
1757168809764.3657,16,0
1757168809772.058,675,0
1757168809779.7505,1227,0
1757168809787.4429,1142,0
1757168809795.1353,193,0
1757168809802.8276,-664,0
1757168809810.52,-549,0
1757168809818.2124,-282,0
1757168809825.9048,-432,0
1757168809833.5972,-471,0
1757168809841.2896,-358,0
1757168809848.982,-374,0
1757168809856.6743,-390,0
1757168809864.3667,-344,0
1757168809872.059,-337,0
1757168809879.7515,-333,0
1757168809887.4438,-294,0
1757168809895.1362,-273,0
1757168809902.8286,-268,0
1757168809910.521,-248,0
1757168809918.2134,-225,0
1757168809925.9058,-204,0
1757168809933.5981,-179,0
1757168809941.2905,-156,0
1757168809948.983,-131,0
1757168809956.6753,-108,0
1757168809964.3677,-87,0
1757168809972.06,-62,0
1757168809979.7524,-48,0
1757168809987.4448,-52,0
1757168809995.1372,-50,0
1757168810002.8296,-52,0
1757168809987.865,-71,0
1757168809995.5574,-89,0
1757168810003.2498,-112,0
1757168810010.9421,-147,0
1757168810018.6345,-190,0
1757168810026.327,-225,0
1757168810034.0193,-245,0
1757168810041.7117,-255,0
1757168810049.404,-264,0
1757168810057.0964,-285,0
1757168810064.7888,-298,0
1757168810072.4812,-275,0
1757168810080.1736,-255,0
1757168810087.866,-252,0
1757168810095.5583,-239,0
1757168810103.2507,-227,0
1757168810110.943,-223,0
1757168810118.6355,-213,0
1757168810126.328,-204,0
1757168810134.0203,-195,0
1757168810141.7126,-188,0
1757168810149.405,-183,0
1757168810157.0974,-179,0
1757168810164.7898,-172,0
1757168810172.4822,-165,0
