ecg,R
21.0,0
16.0,0
-16.0,0
-49.0,0
133.0,0
684.0,0
1116.0,1
651.0,0
-308.0,0
-525.0,0
-105.0,0
32.0,0
-32.0,0
30.0,0
53.0,0
11.0,0
25.0,0
51.0,0
44.0,0
42.0,0
51.0,0
56.0,0
60.0,0
67.0,0
70.0,0
72.0,0
77.0,0
81.0,0
86.0,0
88.0,0
88.0,0
88.0,0
93.0,0
95.0,0
100.0,0
102.0,0
102.0,0
105.0,0
109.0,0
116.0,0
119.0,0
119.0,0
114.0,0
105.0,0
84.0,0
58.0,0
37.0,0
11.0,0
-14.0,0
-32.0,0
-42.0,0
-46.0,0
-46.0,0
-46.0,0
-46.0,0
-44.0,0
-42.0,0
-39.0,0
-32.0,0
-32.0,0
-32.0,0
-30.0,0
-28.0,0
-23.0,0
-16.0,0
-16.0,0
-18.0,0
-18.0,0
-14.0,0
-11.0,0
-9.0,0
-9.0,0
-9.0,0
-9.0,0
-7.0,0
0.0,0
7.0,0
9.0,0
7.0,0
9.0,0
11.0,0
14.0,0
18.0,0
16.0,0
14.0,0
14.0,0
21.0,0
32.0,0
39.0,0
35.0,0
30.0,0
30.0,0
32.0,0
37.0,0
44.0,0
49.0,0
58.0,0
74.0,0
72.0,0
58.0,0
53.0,0
49.0,0
39.0,0
39.0,0
42.0,0
44.0,0
44.0,0
44.0,0
44.0,0
18.0,0
-51.0,0
-2.0,0
483.0,0
1212.0,0
1249.0,1
317.0,0
-369.0,0
-144.0,0
91.0,0
-30.0,0
-42.0,0
21.0,0
-14.0,0
-25.0,0
4.0,0
4.0,0
-2.0,0
9.0,0
21.0,0
23.0,0
30.0,0
35.0,0
39.0,0
44.0,0
53.0,0
60.0,0
63.0,0
65.0,0
67.0,0
70.0,0
79.0,0
91.0,0
95.0,0
98.0,0
98.0,0
102.0,0
105.0,0
105.0,0
107.0,0
105.0,0
100.0,0
91.0,0
72.0,0
46.0,0
25.0,0
4.0,0
-11.0,0
-14.0,0
-11.0,0
-14.0,0
-16.0,0
-14.0,0
-11.0,0
-9.0,0
-7.0,0
-4.0,0
-4.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.0,0
2.0,0
0.0,0
0.0,0
2.0,0
0.0,0
0.0,0
0.0,0
2.0,0
2.0,0
2.0,0
4.0,0
4.0,0
7.0,0
7.0,0
7.0,0
7.0,0
7.0,0
7.0,0
7.0,0
4.0,0
2.0,0
2.0,0
2.0,0
4.0,0
11.0,0
18.0,0
28.0,0
46.0,0
60.0,0
53.0,0
46.0,0
44.0,0
37.0,0
35.0,0
35.0,0
32.0,0
32.0,0
35.0,0
39.0,0
30.0,0
-23.0,0
-67.0,0
186.0,0
866.0,0
1328.0,1
777.0,0
-193.0,0
-340.0,0
21.0,0
39.0,0
-44.0,0
18.0,0
25.0,0
-16.0,0
9.0,0
35.0,0
32.0,0
37.0,0
44.0,0
49.0,0
53.0,0
58.0,0
63.0,0
63.0,0
67.0,0
72.0,0
74.0,0
79.0,0
79.0,0
79.0,0
81.0,0
84.0,0
86.0,0
88.0,0
88.0,0
88.0,0
88.0,0
91.0,0
93.0,0
98.0,0
95.0,0
84.0,0
67.0,0
46.0,0
23.0,0
2.0,0
-18.0,0
-35.0,0
-46.0,0
-51.0,0
-49.0,0
-46.0,0
-46.0,0
-44.0,0
-35.0,0
-28.0,0
-21.0,0
-18.0,0
-21.0,0
-21.0,0
-21.0,0
-18.0,0
-16.0,0
-16.0,0
-16.0,0
-18.0,0
-18.0,0
-16.0,0
-14.0,0
-11.0,0
-14.0,0
-14.0,0
-14.0,0
-14.0,0
-7.0,0
-7.0,0
-9.0,0
-11.0,0
-9.0,0
2.0,0
16.0,0
16.0,0
11.0,0
11.0,0
14.0,0
16.0,0
18.0,0
16.0,0
14.0,0
14.0,0
11.0,0
11.0,0
11.0,0
9.0,0
7.0,0
9.0,0
16.0,0
25.0,0
39.0,0
53.0,0
46.0,0
28.0,0
23.0,0
23.0,0
18.0,0
16.0,0
18.0,0
21.0,0
21.0,0
25.0,0
28.0,0
0.0,0
-70.0,0
-23.0,0
436.0,0
1130.0,0
1172.0,1
270.0,0
-408.0,0
-189.0,0
70.0,0
-23.0,0
-35.0,0
25.0,0
-9.0,0
-25.0,0
7.0,0
14.0,0
9.0,0
16.0,0
16.0,0
14.0,0
23.0,0
39.0,0
46.0,0
44.0,0
44.0,0
53.0,0
63.0,0
67.0,0
63.0,0
63.0,0
67.0,0
72.0,0
77.0,0
84.0,0
88.0,0
88.0,0
88.0,0
91.0,0
102.0,0
112.0,0
107.0,0
86.0,0
65.0,0
49.0,0
39.0,0
21.0,0
2.0,0
-11.0,0
-23.0,0
-32.0,0
-32.0,0
-25.0,0
-16.0,0
-14.0,0
-18.0,0
-16.0,0
-16.0,0
-18.0,0
-16.0,0
-14.0,0
-18.0,0
-23.0,0
-18.0,0
-11.0,0
-7.0,0
-7.0,0
-9.0,0
-9.0,0
-7.0,0
-7.0,0
-9.0,0
-11.0,0
-9.0,0
-2.0,0
-2.0,0
-4.0,0
2.0,0
14.0,0
14.0,0
11.0,0
9.0,0
9.0,0
7.0,0
9.0,0
11.0,0
9.0,0
7.0,0
9.0,0
2.0,0
2.0,0
7.0,0
7.0,0
4.0,0
9.0,0
18.0,0
32.0,0
51.0,0
51.0,0
30.0,0
18.0,0
16.0,0
11.0,0
14.0,0
14.0,0
14.0,0
18.0,0
18.0,0
16.0,0
11.0,0
-30.0,0
-16.0,0
305.0,0
889.0,0
1030.0,1
261.0,0
-506.0,0
-362.0,0
11.0,0
2.0,0
-14.0,0
60.0,0
37.0,0
14.0,0
46.0,0
56.0,0
49.0,0
56.0,0
60.0,0
56.0,0
56.0,0
65.0,0
74.0,0
77.0,0
79.0,0
84.0,0
91.0,0
93.0,0
98.0,0
102.0,0
105.0,0
109.0,0
121.0,0
133.0,0
137.0,0
135.0,0
133.0,0
135.0,0
147.0,0
147.0,0
137.0,0
119.0,0
98.0,0
65.0,0
30.0,0
4.0,0
-18.0,0
-42.0,0
-51.0,0
-53.0,0
-58.0,0
-58.0,0
-51.0,0
-49.0,0
-51.0,0
-51.0,0
-51.0,0
-49.0,0
-39.0,0
-35.0,0
-37.0,0
-37.0,0
-35.0,0
-28.0,0
-25.0,0
-30.0,0
-28.0,0
-23.0,0
-21.0,0
-21.0,0
-21.0,0
-21.0,0
-18.0,0
-21.0,0
-21.0,0
-18.0,0
-11.0,0
-11.0,0
-14.0,0
-14.0,0
-4.0,0
7.0,0
14.0,0
9.0,0
4.0,0
2.0,0
4.0,0
9.0,0
14.0,0
21.0,0
25.0,0
37.0,0
56.0,0
53.0,0
35.0,0
32.0,0
37.0,0
35.0,0
35.0,0
39.0,0
39.0,0
37.0,0
39.0,0
39.0,0
9.0,0
-51.0,0
44.0,0
569.0,0
1200.0,1
1034.0,0
49.0,0
-462.0,0
-137.0,0
58.0,0
-49.0,0
-18.0,0
32.0,0
-9.0,0
-11.0,0
18.0,0
11.0,0
9.0,0
23.0,0
32.0,0
35.0,0
39.0,0
42.0,0
44.0,0
53.0,0
58.0,0
60.0,0
63.0,0
65.0,0
67.0,0
74.0,0
77.0,0
77.0,0
79.0,0
84.0,0
88.0,0
91.0,0
91.0,0
93.0,0
93.0,0
93.0,0
88.0,0
74.0,0
51.0,0
25.0,0
4.0,0
-18.0,0
-35.0,0
-44.0,0
-49.0,0
-51.0,0
-51.0,0
-46.0,0
-35.0,0
-25.0,0
-21.0,0
-21.0,0
-14.0,0
-4.0,0
2.0,0
2.0,0
4.0,0
4.0,0
2.0,0
2.0,0
4.0,0
7.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
9.0,0
7.0,0
7.0,0
4.0,0
4.0,0
7.0,0
9.0,0
9.0,0
11.0,0
9.0,0
9.0,0
7.0,0
4.0,0
4.0,0
4.0,0
7.0,0
14.0,0
21.0,0
35.0,0
53.0,0
49.0,0
30.0,0
25.0,0
25.0,0
18.0,0
18.0,0
23.0,0
21.0,0
21.0,0
25.0,0
28.0,0
2.0,0
-65.0,0
-16.0,0
462.0,0
1179.0,0
1212.0,1
287.0,0
-392.0,0
-163.0,0
74.0,0
-39.0,0
-51.0,0
11.0,0
-21.0,0
-35.0,0
2.0,0
9.0,0
2.0,0
14.0,0
23.0,0
25.0,0
42.0,0
56.0,0
58.0,0
60.0,0
65.0,0
72.0,0
74.0,0
77.0,0
79.0,0
81.0,0
86.0,0
86.0,0
88.0,0
91.0,0
91.0,0
93.0,0
95.0,0
98.0,0
100.0,0
100.0,0
95.0,0
84.0,0
60.0,0
39.0,0
18.0,0
-2.0,0
-23.0,0
-35.0,0
-42.0,0
-46.0,0
-46.0,0
-44.0,0
-44.0,0
-42.0,0
-37.0,0
-32.0,0
-30.0,0
-30.0,0
-30.0,0
-28.0,0
-25.0,0
-25.0,0
-25.0,0
-25.0,0
-23.0,0
-23.0,0
-21.0,0
-18.0,0
-18.0,0
-21.0,0
-21.0,0
-18.0,0
-16.0,0
-14.0,0
-11.0,0
-11.0,0
-11.0,0
-11.0,0
-7.0,0
-2.0,0
4.0,0
11.0,0
11.0,0
14.0,0
25.0,0
37.0,0
35.0,0
28.0,0
25.0,0
25.0,0
28.0,0
28.0,0
32.0,0
39.0,0
46.0,0
63.0,0
70.0,0
53.0,0
39.0,0
37.0,0
30.0,0
28.0,0
32.0,0
35.0,0
28.0,0
28.0,0
32.0,0
25.0,0
-30.0,0
-63.0,0
226.0,0
915.0,0
1305.0,1
674.0,0
-259.0,0
-324.0,0
30.0,0
11.0,0
-70.0,0
2.0,0
2.0,0
-35.0,0
-11.0,0
2.0,0
-7.0,0
2.0,0
16.0,0
16.0,0
18.0,0
25.0,0
28.0,0
35.0,0
42.0,0
42.0,0
42.0,0
46.0,0
51.0,0
56.0,0
60.0,0
63.0,0
65.0,0
67.0,0
70.0,0
72.0,0
79.0,0
88.0,0
98.0,0
100.0,0
98.0,0
91.0,0
77.0,0
49.0,0
25.0,0
2.0,0
-16.0,0
-30.0,0
-37.0,0
-44.0,0
-49.0,0
-46.0,0
-35.0,0
-21.0,0
-16.0,0
-18.0,0
-18.0,0
-16.0,0
-14.0,0
-9.0,0
-7.0,0
-11.0,0
-14.0,0
-14.0,0
-14.0,0
-11.0,0
-11.0,0
-14.0,0
-16.0,0
-14.0,0
-11.0,0
-9.0,0
-9.0,0
-9.0,0
-7.0,0
-7.0,0
-7.0,0
-4.0,0
-2.0,0
-4.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
0.0,0
-2.0,0
0.0,0
0.0,0
-4.0,0
-4.0,0
-2.0,0
0.0,0
-2.0,0
4.0,0
11.0,0
23.0,0
42.0,0
42.0,0
25.0,0
21.0,0
23.0,0
16.0,0
14.0,0
23.0,0
32.0,0
35.0,0
35.0,0
35.0,0
25.0,0
-25.0,0
-44.0,0
266.0,0
927.0,0
1209.0,1
509.0,0
-348.0,0
-319.0,0
30.0,0
9.0,0
-44.0,0
21.0,0
9.0,0
-14.0,0
23.0,0
39.0,0
30.0,0
37.0,0
