time,ppg
1764027196799,45.784341
1764027196845,225.797616
1764027196886,205.949036
1764027196911,185.078275
1764027196959,131.664542
1764027196995,102.938821
1764027197008,89.86802
1764027197035,83.315126
1764027197073,79.694933
1764027197094,76.728872
1764027197144,74.076179
1764027197165,71.774771
1764027197193,69.123679
1764027197232,67.449723
1764027197269,66.878853
1764027197294,66.640128
1764027197328,66.73035
1764027197365,66.903157
1764027197390,66.9639
1764027197424,67.019668
1764027197463,67.014408
1764027197500,66.999154
1764027197539,66.929095
1764027197560,66.897473
1764027197591,66.885533
1764027197625,66.740376
1764027197659,66.590779
1764027197692,66.431201
1764027197726,66.338583
1764027197764,66.260002
1764027197796,66.104265
1764027197832,66.080599
1764027197867,65.942252
1764027197897,66.220314
1764027197930,66.438824
1764027197967,66.533714
1764027197993,66.595069
1764027198025,66.645733
1764027198065,66.457034
1764027198092,65.888964
1764027198126,65.578324
1764027198162,65.520003
1764027198197,65.627426
1764027198232,65.791125
1764027198264,65.943099
1764027198302,66.056921
1764027198330,66.138002
1764027198367,66.160021
1764027198400,66.1428
1764027198433,66.130157
1764027198467,66.125359
1764027198503,66.150014
1764027198532,66.211759
1764027198573,66.277925
1764027198601,66.32857
1764027198632,66.376096
1764027198669,66.430166
1764027198703,66.472887
1764027198734,66.50723
1764027198771,66.532041
1764027198801,66.565974
1764027198833,66.580017
1764027198868,66.582849
1764027198900,66.62585
1764027198933,66.658084
1764027198974,66.661176
1764027199002,66.227111
1764027199039,65.719002
1764027199066,65.474873
1764027199102,65.46904
1764027199135,65.902239
1764027199173,66.352424
1764027199201,66.642159
1764027199232,66.803586
1764027199269,66.874172
1764027199308,66.818065
1764027199331,66.721027
1764027199369,66.691977
1764027199410,66.701925
1764027199432,66.765884
1764027199462,66.80177
1764027199496,66.844465
1764027199530,66.918124
1764027199569,66.944375
1764027199601,66.934023
1764027199631,66.971074
1764027199660,66.989238
1764027199694,66.980117
1764027199728,66.980013
1764027199763,66.984954
1764027199803,66.967975
1764027199830,66.969062
1764027199866,67.000755
1764027199900,67.039427
1764027199930,66.783098
1764027199963,66.20978
1764027199997,65.919726
1764027200032,65.867877
1764027200069,65.964023
1764027200104,66.128569
1764027200138,66.283928
1764027200171,66.411715
1764027200201,66.496735
1764027200234,66.522412
1764027200265,66.510765
1764027200304,66.500465
1764027200335,66.492451
1764027200367,66.520648
1764027200397,66.574594
1764027200430,66.62087
1764027200464,66.646515
1764027200498,66.685942
1764027200538,66.721535
1764027200565,66.758156
1764027200601,66.800943
1764027200631,66.84177
1764027200665,66.879107
1764027200694,66.883085
1764027200729,66.924589
1764027200760,66.977025
1764027200799,66.99485
1764027200829,66.579405
1764027200865,66.067728
1764027200899,65.827447
1764027200942,65.813723
1764027200967,65.945794
1764027200999,66.114174
1764027201039,66.255698
1764027201070,66.359573
1764027201103,66.432229
1764027201133,66.469385
1764027201174,66.453004
1764027201206,66.436487
1764027201233,66.439925
1764027201271,66.465888
1764027201306,66.513688
1764027201333,66.564268
1764027201368,66.626117
1764027201398,66.675584
1764027201431,66.718345
1764027201468,66.753084
1764027201496,66.78522
1764027201527,66.834686
1764027201566,66.851405
1764027201596,66.850969
1764027201633,66.865233
1764027201670,66.907063
1764027201706,66.931601
1764027201741,66.856581
1764027201767,66.294995
1764027201798,65.918391
1764027201829,65.747726
1764027201859,65.756834
1764027201898,65.893912
1764027201932,66.044968
1764027201967,66.164558
1764027202003,66.263218
1764027202030,66.333511
1764027202067,66.344996
1764027202106,66.323218
1764027202138,66.309904
1764027202172,66.326936
1764027202203,66.377769
1764027202237,66.435257
1764027202267,66.486038
1764027202304,66.528005
1764027202338,66.568819
1764027202366,66.603826
1764027202402,66.620043
1764027202426,66.639451
1764027202460,66.665056
1764027202490,66.677498
1764027202525,66.680037
1764027202560,66.716756
1764027202593,66.778332
1764027202623,66.841535
1764027202655,66.663728
1764027202691,66.235353
1764027202725,65.957389
1764027202759,65.892701
1764027202796,65.971927
1764027202822,66.103126
1764027202857,66.220405
1764027202898,66.32482
1764027202926,66.402223
1764027202964,66.405869
1764027202998,66.328401
1764027203039,66.235503
1764027203074,66.190372
1764027203105,66.180301
1764027203138,66.186564
1764027203168,66.232742
1764027203206,66.308856
1764027203239,66.368349
1764027203272,66.403453
1764027203306,66.44458
1764027203336,66.499281
1764027203379,66.530674
1764027203413,66.572432
1764027203443,66.641104
1764027203478,66.7441
1764027203513,66.843235
1764027203546,66.779484
1764027203574,66.328375
1764027203610,65.998229
1764027203642,65.870207
1764027203671,65.913665
1764027203704,66.044362
1764027203727,66.180053
1764027203766,66.252124
1764027203799,66.293133
1764027203829,66.298153
1764027203869,66.282456
1764027203908,66.239409
1764027203932,66.227964
1764027203964,66.229598
1764027203998,66.206994
1764027204035,66.251401
1764027204075,66.309657
1764027204100,66.356838
1764027204133,66.40915
1764027204170,66.479821
1764027204207,66.559659
1764027204239,66.600095
1764027204263,66.637315
1764027204297,66.683911
1764027204329,66.671697
1764027204365,66.196499
1764027204399,65.711469
1764027204438,65.4454
1764027204475,65.418356
1764027204512,65.945892
1764027204542,66.45372
1764027204574,66.779387
1764027204605,66.992982
1764027204639,67.055782
1764027204675,67.015905
1764027204712,66.89912
1764027204741,66.85761
1764027204765,66.818456
1764027204806,66.851093
1764027204833,66.9358
1764027204875,66.964342
1764027204913,66.985918
1764027204934,66.993796
1764027204974,67.004036
1764027205012,66.988157
1764027205043,66.975664
1764027205067,66.982747
1764027205113,67.005332
1764027205149,67.007539
1764027205180,66.714692
1764027205210,65.870963
1764027205234,65.442399
1764027205270,65.260855
1764027205302,65.58753
1764027205332,66.154767
1764027205367,66.409566
1764027205400,66.629991
1764027205434,66.802049
1764027205474,66.841705
1764027205511,66.725688
1764027205543,66.519658
1764027205569,66.450843
1764027205601,66.482991
1764027205630,66.623162
1764027205668,66.721404
1764027205700,66.796776
1764027205736,66.868743
1764027205769,66.891432
1764027205806,66.869901
1764027205846,66.823469
1764027205864,66.765304
1764027205903,66.690343
1764027205936,66.557263
1764027205970,66.366799
1764027206005,65.589991
1764027206033,64.78953
1764027206069,64.331734
1764027206106,64.314716
1764027206135,64.556228
1764027206171,64.944388
1764027206202,65.281493
1764027206232,65.563278
1764027206269,65.811496
1764027206297,65.985332
1764027206330,66.03931
1764027206367,66.012298
1764027206403,65.890878
1764027206435,65.802818
1764027206465,65.819595
1764027206500,65.845559
1764027206537,65.779634
1764027206570,65.532093
1764027206611,65.124102
1764027206633,64.565577
1764027206673,64.227469
1764027206699,63.84091
1764027206732,63.395465
1764027206769,63.16476
1764027206798,63.063412
1764027206839,63.147494
1764027206864,63.171687
1764027206898,62.996999
1764027206939,62.684659
1764027206968,62.53236
1764027207003,62.353368
1764027207042,62.454111
1764027207075,62.706209
1764027207104,63.003236
1764027207136,63.328687
1764027207173,63.601195
1764027207203,63.81119
1764027207238,63.895175
1764027207270,63.920019
1764027207307,64.021934
1764027207335,64.24118
1764027207375,64.491116
1764027207415,64.665668
1764027207436,64.76897
1764027207473,64.86011
