time,ppg,peak
1757168809154,233.393167,0
1757168809173,228.621033,0
1757168809192,229.006882,0
1757168809222,228.998971,0
1757168809255,228.995631,0
1757168809289,228.994512,0
1757168809322,225.380094,0
1757168809353,220.029863,0
1757168809389,206.820103,0
1757168809420,184.614431,0
1757168809456,158.084629,0
1757168809488,131.593669,0
1757168809525,109.487002,0
1757168809557,92.07405,0
1757168809594,81.68406,0
1757168809622,78.382568,0
1757168809660,76.552595,0
1757168809690,75.78759,0
1757168809720,74.780891,0
1757168809755,74.703038,0
1757168809789,74.654789,0
1757168809825,74.594958,0
1757168809860,74.61505,0
1757168809889,74.73102,0
1757168809920,74.876256,0
1757168809955,75.010977,0
1757168809989,75.118249,0
1757168810020,75.222781,0
1757168810055,75.326604,0
1757168810090,75.31217,0
1757168810120,75.177625,0
1757168810155,75.054395,0
1757168810190,74.928912,0
1757168810214,74.78621,0
1757168810255,74.655076,0
1757168810284,74.524704,0
1757168810316,74.389983,0
1757168810350,74.259624,0
1757168810389,74.237651,0
1757168810422,74.565082,0
1757168810453,76.190782,0
1757168810490,76.569515,0
1757168810518,76.21394,0
1757168810557,76.198667,0
1757168810590,76.103575,0
1757168810625,75.656703,0
1757168810657,75.585017,0
1757168810690,75.568031,0
1757168810720,75.561885,0
1757168810755,75.545902,0
1757168810783,75.544118,0
1757168810816,75.545935,0
1757168810851,75.551651,0
1757168810883,75.549014,0
1757168810918,75.533311,0
1757168810952,75.530537,0
1757168810990,75.540642,0
1757168811020,75.560173,0
1757168811055,75.567959,0
1757168811089,75.58001,0
1757168811121,75.599587,0
1757168811155,75.600557,0
1757168811189,75.614991,0
1757168811215,75.64214,0
1757168811253,75.647524,0
1757168811283,75.652381,0
1757168811316,75.664978,0
1757168811350,75.680245,0
1757168811385,75.698702,0
1757168811422,75.720363,0
1757168811453,75.679243,0
1757168811490,75.568943,0
1757168811516,75.458616,0
1757168811560,75.418525,0
1757168811589,75.422112,0
1757168811620,76.118087,0
1757168811652,76.094838,0
1757168811683,76.097071,0
1757168811716,76.118425,0
1757168811750,75.7466,0
1757168811787,75.75061,0
1757168811817,75.741405,0
1757168811852,75.743983,0
1757168811884,75.744341,0
1757168811917,75.780643,0
1757168811951,75.797974,0
1757168811985,75.808215,0
1757168812017,75.822362,0
1757168812053,75.832642,0
1757168812084,75.837518,0
1757168812116,75.860507,0
1757168812150,75.86425,0
1757168812184,75.876685,0
1757168812216,75.890058,0
1757168812254,75.909212,0
1757168812290,75.916796,0
1757168812316,75.926868,0
1757168812348,75.947343,0
1757168812379,75.896236,0
1757168812414,75.784393,0
1757168812449,75.69548,0
1757168812486,75.665369,0
1757168812523,75.654216,0
1757168812547,75.654093,0
1757168812582,75.655525,0
1757168812616,75.655792,0
1757168812649,75.656938,0
1757168812682,75.656039,0
1757168812717,75.655792,0
1757168812749,75.648748,0
1757168812780,75.65742,0
1757168812815,75.658207,0
1757168812849,75.68003,0
1757168812882,75.698312,0
1757168812917,75.715753,0
1757168812950,75.714295,0
1757168812982,75.725708,0
1757168813015,75.739484,0
1757168813050,75.752062,0
1757168813089,75.771444,0
1757168813123,75.769829,0
1757168813148,75.793195,0
1757168813181,75.801301,0
1757168813215,75.820402,0
1757168813248,75.777687,0
1757168813280,75.680512,0
1757168813313,75.60279,0
1757168813347,75.572406,0
1757168813380,75.576019,0
1757168813414,76.324683,0
1757168813447,76.331897,0
1757168813480,76.328681,0
1757168813514,76.331089,0
1757168813547,75.97957,0
1757168813581,75.974284,0
1757168813613,75.983216,0
1757168813651,75.98263,0
1757168813681,75.996445,0
1757168813714,76.012096,0
1757168813754,76.036433,0
1757168813782,76.046237,0
1757168813818,76.068327,0
1757168813856,76.084161,0
1757168813882,76.105489,0
1757168813915,76.118393,0
1757168813959,76.139981,0
1757168813981,76.151199,0
1757168814014,76.174793,0
1757168814055,76.191655,0
1757168814081,76.20963,0
1757168814115,76.205477,0
1757168814148,76.120053,0
1757168814179,76.031146,0
1757168814213,75.978828,0
1757168814250,75.9597,0
1757168814280,75.949173,0
1757168814313,75.581989,0
1757168814345,75.966797,0
1757168814379,75.982298,0
1757168814414,75.986295,0
1757168814448,75.991673,0
1757168814478,75.992617,0
1757168814513,75.99722,0
1757168814553,75.999284,0
1757168814581,76.018412,0
1757168814611,76.032839,0
1757168814649,76.045625,0
1757168814678,76.066901,0
1757168814712,76.083256,0
1757168814740,76.099525,0
1757168814773,76.122214,0
1757168814807,76.138152,0
1757168814845,76.153438,0
1757168814878,76.167748,0
1757168814908,76.186407,0
1757168814941,76.200717,0
1757168814978,76.224175,0
1757168815014,75.861816,0
1757168815048,75.844185,0
1757168815077,75.754334,0
1757168815113,75.663689,0
1757168815146,75.603819,0
1757168815180,75.609262,0
1757168815215,75.608721,0
1757168815245,75.607523,0
1757168815278,75.615629,0
1757168815311,75.625011,0
1757168815345,75.63339,0
1757168815378,75.630343,0
1757168815413,75.637335,0
1757168815446,75.63475,0
1757168815479,75.6474,0
1757168815514,75.653351,0
1757168815546,75.668618,0
1757168815578,75.687921,0
1757168815613,75.704614,0
1757168815646,75.72298,0
1757168815679,75.733084,0
1757168815713,75.745304,0
1757168815745,75.767648,0
1757168815780,75.78175,0
1757168815812,75.78591,0
1757168815845,75.799283,0
1757168815878,75.825214,0
1757168815912,75.835005,0
1757168815946,75.852831,0
1757168815979,75.859771,0
1757168816011,75.793846,0
1757168816046,75.699529,0
1757168816079,75.631541,0
1757168816113,75.603305,0
1757168816145,75.615486,0
1757168816179,75.631078,0
1757168816219,75.638813,0
1757168816245,75.648168,0
1757168816278,75.655571,0
1757168816311,75.648995,0
1757168816344,75.65087,0
1757168816377,75.654119,0
1757168816411,75.67367,0
1757168816444,75.693123,0
1757168816479,75.703397,0
1757168816513,75.727707,0
1757168816542,75.749946,0
1757168816578,75.770929,0
1757168816613,75.787674,0
1757168816644,75.804191,0
1757168816678,75.823345,0
1757168816712,75.840298,0
1757168816744,75.852466,0
1757168816778,75.868573,0
1757168816819,75.884433,0
1757168816845,75.904693,0
1757168816878,75.91718,0
1757168816911,75.939974,0
1757168816944,75.931015,0
1757168816978,75.82869,0
1757168817020,75.729373,0
1757168817044,75.678474,0
1757168817077,75.678846,0
1757168817112,75.67882,0
1757168817144,75.669282,0
1757168817177,75.667459,0
1757168817211,75.681997,0
1757168817244,75.705968,0
1757168817277,75.707745,0
1757168817310,75.704262,0
1757168817343,75.709204,0
1757168817378,75.719582,0
1757168817411,75.747863,0
1757168817443,75.761021,0
1757168817477,75.783885,0
1757168817510,75.804764,0
1757168817543,75.827004,0
1757168817578,75.846861,0
1757168817610,75.870898,0
1757168817655,75.882597,0
1757168817679,75.89774,0
1757168817708,75.926992,0
1757168817743,75.951373,0
1757168817782,75.967194,0
1757168817808,75.988646,0
1757168817841,76.007018,0
1757168817878,76.031322,0
1757168817912,76.048926,0
1757168817944,76.058692,0
1757168817977,75.983808,0
1757168818010,75.862864,0
1757168818044,75.778306,0
1757168818077,75.75535,0
1757168818110,75.767987,0
1757168818143,75.76811,0
1757168818176,75.766841,0
1757168818210,75.78481,0
1757168818243,75.785181,0
1757168818279,75.798059,0
1757168818310,75.797811,0
1757168818339,75.796509,0
1757168818372,75.815298,0
1757168818405,75.831477,0
1757168818444,75.847506,0
1757168818476,75.866353,0
1757168818509,75.882812,0
1757168818538,75.914687,0
1757168818572,75.927252,0
1757168818606,75.943033,0
1757168818639,75.958769,0
1757168818678,75.990501,0
1757168818707,75.993385,0
1757168818740,76.007819,0
1757168818777,76.028607,0
1757168818806,76.051582,0
1757168818845,76.070997,0
1757168818872,76.086348,0
1757168818907,76.106348,0
1757168818942,76.066114,0
1757168818981,75.96153,0
1757168819010,75.856796,0
1757168819043,75.817818,0
1757168819077,75.830429,0
1757168819106,75.840377,0
1757168819139,75.84606,0
1757168819175,75.865064,0
1757168819207,75.866431,0
1757168819243,75.868365,0
1757168819276,75.86731,0
1757168819306,75.86537,0
1757168819341,75.884211,0
1757168819375,75.905768,0
1757168819410,75.919804,0
1757168819442,75.945228,0
1757168819475,75.963991,0
1757168819509,75.978242,0
1757168819542,76.001719,0
1757168819579,76.026882,0
1757168819607,76.036335,0
1757168819641,76.061094,0
1757168819674,76.083171,0
1757168819707,76.093822,0
1757168819741,76.116967,0
1757168819775,76.143562,0
1757168819809,76.14825,0
1757168819840,76.134246,0
1757168819871,76.029935,0
1757168819905,75.920527,0
1757168819938,75.871633,0
1757168819974,75.830403,0
1757168820009,75.835474,0
1757168820060,75.840259,0
1757168820073,75.848476,0
1757168820103,75.849628,0
1757168820138,75.859036,0
1757168820173,75.870787,0
1757168820205,75.869459,0
1757168820239,75.869329,0
1757168820273,75.881809,0
1757168820308,75.912864,0
1757168820340,75.924622,0
1757168820378,75.943724,0
1757168820406,75.964166,0
1757168820441,75.981627,0
1757168820470,75.999115,0
1757168820507,76.026276,0
1757168820537,76.042246,0
1757168820572,76.05823,0
1757168820608,76.069929,0
1757168820643,76.081752,0
1757168820673,76.093243,0
1757168820710,76.109389,0
1757168820742,76.132761,0
1757168820771,76.146192,0
1757168820808,76.140717,0
1757168820842,76.048034,0
1757168820871,75.93929,0
1757168820907,75.877942,0
1757168820944,75.864172,0
1757168820971,75.86748,0
1757168821006,75.877467,0
1757168821037,75.873762,0
1757168821073,75.885182,0
1757168821111,75.893066,0
1757168821139,75.894791,0
1757168821173,75.893977,0
1757168821207,75.894863,0
1757168821243,75.907317,0
1757168821273,75.918229,0
1757168821308,75.952708,0
1757168821338,75.970775,0
1757168821375,75.982506,0
1757168821406,75.998561,0
1757168821436,76.026192,0
1757168821469,76.030332,0
1757168821505,76.059974,0
1757168821536,76.076843,0
1757168821569,76.104291,0
1757168821605,76.118184,0
1757168821639,76.113764,0
1757168821673,76.139207,0
1757168821712,76.15616,0
1757168821743,76.172371,0
1757168821771,76.151961,0
1757168821799,76.050007,0
1757168821835,75.934524,0
1757168821866,75.880227,0
1757168821901,75.880969,0
1757168821936,75.888274,0
1757168821970,75.896113,0
1757168822010,75.897291,0
1757168822042,75.913163,0
1757168822072,75.909387,0
1757168822107,75.907447,0
1757168822144,75.902812,0
1757168822173,75.911438,0
1757168822207,75.920182,0
1757168822239,75.952343,0
1757168822270,75.97722,0
1757168822305,75.99332,0
1757168822338,76.009811,0
1757168822369,76.036322,0
1757168822405,76.044024,0
1757168822438,76.058392,0
1757168822490,76.082279,0
1757168822503,76.105098,0
1757168822536,76.125587,0
1757168822576,76.143054,0
1757168822602,76.151856,0
1757168822636,76.177019,0
1757168822669,76.159571,0
1757168822706,76.050417,0
1757168822740,75.935065,0
1757168822770,75.878958,0
1757168822810,75.867226,0
1757168822839,75.879244,0
1757168822872,75.879752,0
1757168822905,75.884309,0
1757168822936,75.894635,0
1757168822972,75.906809,0
1757168823005,75.920494,0
1757168823036,75.910943,0
1757168823072,75.915481,0
1757168823105,75.93664,0
1757168823136,75.962942,0
1757168823172,75.979082,0
1757168823203,76.000423,0
1757168823236,76.025619,0
1757168823272,76.045684,0
1757168823305,76.072409,0
1757168823337,76.092325,0
1757168823372,76.111335,0
1757168823405,76.145105,0
1757168823436,76.1759,0
1757168823473,76.192534,0
1757168823505,76.214194,0
1757168823536,76.235483,0
1757168823572,76.260835,0
1757168823605,76.279611,0
1757168823636,76.243927,0
1757168823672,76.120138,0
1757168823705,76.002494,0
1757168823736,75.948209,0
1757168823774,75.938346,0
1757168823805,75.946308,0
1757168823836,75.962995,0
1757168823872,75.975579,0
1757168823905,75.982155,0
1757168823936,75.98595,0
1757168823971,75.978157,0
1757168824006,75.970137,0
1757168824036,75.960586,0
1757168824072,75.970963,0
1757168824106,75.994844,0
1757168824136,76.026992,0
1757168824172,76.052194,0
1757168824205,76.074773,0
1757168824234,76.085658,0
1757168824277,76.106745,0
1757168824305,76.130737,0
1757168824337,76.164415,0
1757168824369,76.192332,0
1757168824404,76.205841,0
1757168824429,76.227801,0
1757168824463,76.251525,0
1757168824498,76.285874,0
1757168824538,76.311512,0
1757168824572,76.320744,0
1757168824606,76.337854,0
1757168824641,76.279793,0
1757168824669,76.14032,0
1757168824704,76.04127,0
1757168824736,76.009186,0
